time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh
2023-09-03 18:45,6646.313,8975.224,1006.894,2278.520
2023-09-03 19:00,6646.362,8975.224,1006.894,2278.520
2023-09-03 19:15,6646.453,8975.224,1006.894,2278.520
2023-09-03 19:30,6646.536,8975.224,1006.894,2278.520
2023-09-03 19:45,6646.649,8975.224,1006.894,2278.520
2023-09-03 20:00,6646.750,8975.224,1006.894,2278.520
2023-09-03 20:15,6646.951,8975.224,1006.894,2278.520
2023-09-03 20:30,6647.101,8975.224,1006.894,2278.520
2023-09-03 20:45,6647.254,8975.224,1006.894,2278.520
2023-09-03 21:00,6647.398,8975.224,1006.894,2278.520
2023-09-03 21:15,6647.510,8975.224,1006.894,2278.520
2023-09-03 21:30,6647.609,8975.224,1006.894,2278.520
2023-09-03 21:45,6647.714,8975.224,1006.894,2278.520
2023-09-03 22:00,6647.830,8975.224,1006.894,2278.520
2023-09-03 22:15,6647.961,8975.224,1006.894,2278.520
2023-09-03 22:30,6648.100,8975.224,1006.894,2278.520
2023-09-03 22:45,6648.232,8975.224,1006.894,2278.520
2023-09-03 23:00,6648.359,8975.224,1006.894,2278.520
2023-09-03 23:15,6648.486,8975.224,1006.894,2278.520
2023-09-03 23:30,6648.603,8975.224,1006.894,2278.520
2023-09-03 23:45,6648.707,8975.224,1006.894,2278.520
2023-09-04 00:00,6648.812,8975.224,1006.894,2278.520
2023-09-04 00:15,6648.906,8975.224,1006.894,2278.520
2023-09-04 00:30,6648.988,8975.224,1006.894,2278.520
2023-09-04 00:45,6649.083,8975.224,1006.894,2278.520
2023-09-04 01:00,6649.173,8975.224,1006.894,2278.520
2023-09-04 01:15,6649.266,8975.224,1006.894,2278.520
2023-09-04 01:30,6649.365,8975.224,1006.894,2278.520
2023-09-04 01:45,6649.448,8975.224,1006.894,2278.520
2023-09-04 02:00,6649.520,8975.224,1006.894,2278.520
2023-09-04 02:15,6649.604,8975.224,1006.894,2278.520
2023-09-04 02:30,6649.675,8975.224,1006.894,2278.520
2023-09-04 02:45,6649.765,8975.224,1006.894,2278.520
2023-09-04 03:00,6649.862,8975.224,1006.894,2278.520
2023-09-04 03:15,6649.955,8975.224,1006.894,2278.520
2023-09-04 03:30,6650.027,8975.224,1006.894,2278.520
2023-09-04 03:45,6650.089,8975.224,1006.894,2278.520
2023-09-04 04:00,6650.133,8975.224,1006.894,2278.520
2023-09-04 04:15,6650.189,8975.224,1006.894,2278.520
2023-09-04 04:30,6650.238,8975.224,1006.894,2278.520
2023-09-04 04:45,6650.297,8975.224,1006.894,2278.520
2023-09-04 05:00,6650.373,8975.224,1006.894,2278.520
2023-09-04 05:15,6650.439,8975.224,1006.894,2278.520
2023-09-04 05:30,6650.504,8975.224,1006.894,2278.520
2023-09-04 05:45,6650.567,8975.224,1006.894,2278.520
2023-09-04 06:00,6650.613,8975.224,1006.894,2278.520
2023-09-04 06:15,6650.660,8975.224,1006.894,2278.520
2023-09-04 06:30,6650.716,8975.224,1006.894,2278.520
2023-09-04 06:45,6650.780,8975.224,1006.894,2278.520
2023-09-04 07:00,6650.847,8975.224,1006.894,2278.520
2023-09-04 07:15,6650.849,8975.264,1006.894,2278.520
2023-09-04 07:30,6650.849,8975.330,1006.894,2278.525
2023-09-04 07:45,6650.849,8975.453,1006.894,2278.562
2023-09-04 08:00,6650.849,8975.494,1006.894,2278.599
2023-09-04 08:15,6650.849,8975.494,1006.894,2278.781
2023-09-04 08:30,6650.849,8975.494,1006.894,2279.036
2023-09-04 08:45,6650.849,8975.494,1006.894,2279.310
2023-09-04 09:00,6650.849,8975.494,1006.894,2279.592
2023-09-04 09:15,6650.849,8975.494,1006.894,2279.867
2023-09-04 09:30,6650.849,8975.494,1006.894,2280.180
2023-09-04 09:45,6650.849,8975.494,1006.894,2280.512
2023-09-04 10:00,6650.849,8975.494,1006.894,2280.862
2023-09-04 10:15,6650.849,8975.494,1006.894,2281.177
2023-09-04 10:30,6650.849,8975.494,1006.894,2281.569
2023-09-04 10:45,6650.849,8975.494,1006.894,2281.955
2023-09-04 11:00,6650.849,8975.494,1006.894,2282.371
2023-09-04 11:15,6650.849,8975.494,1006.894,2282.669
2023-09-04 11:30,6650.849,8975.494,1006.894,2283.039
2023-09-04 11:45,6650.849,8975.494,1006.894,2283.388
2023-09-04 12:00,6650.849,8975.494,1006.894,2283.770
2023-09-04 12:15,6650.849,8975.713,1006.894,2283.913
2023-09-04 12:30,6650.849,8975.716,1006.894,2284.265
2023-09-04 12:45,6650.849,8975.716,1006.894,2284.546
2023-09-04 13:00,6650.849,8975.716,1006.894,2284.807
2023-09-04 13:15,6650.849,8975.716,1006.894,2285.067
2023-09-04 13:30,6650.849,8975.775,1006.894,2285.266
2023-09-04 13:45,6650.849,8975.775,1006.894,2285.456
2023-09-04 14:00,6650.849,8975.775,1006.894,2285.674
2023-09-04 14:15,6650.849,8975.775,1006.894,2285.877
2023-09-04 14:30,6650.849,8975.775,1006.894,2286.107
2023-09-04 14:45,6650.849,8975.832,1006.894,2286.201
2023-09-04 15:00,6650.849,8975.925,1006.894,2286.201
2023-09-04 15:15,6650.849,8975.953,1006.894,2286.272
2023-09-04 15:30,6650.849,8975.953,1006.894,2286.457
2023-09-04 15:45,6650.849,8976.005,1006.894,2286.608
2023-09-04 16:00,6650.849,8976.064,1006.894,2286.718
2023-09-04 16:15,6650.849,8976.064,1006.894,2286.846
2023-09-04 16:30,6650.849,8976.064,1006.894,2286.908
2023-09-04 16:45,6650.849,8976.222,1006.894,2286.916
2023-09-04 17:00,6650.849,8976.222,1006.894,2286.947
2023-09-04 17:15,6650.849,8976.222,1006.894,2286.970
2023-09-04 17:30,6650.849,8976.222,1006.894,2287.001
2023-09-04 17:45,6650.849,8976.222,1006.894,2287.018
2023-09-04 18:00,6650.849,8976.250,1006.894,2287.030
2023-09-04 18:15,6650.849,8976.680,1006.894,2287.030
2023-09-04 18:30,6650.849,8977.266,1006.894,2287.030
2023-09-04 18:45,6650.849,8977.410,1006.894,2287.030
2023-09-04 19:00,6650.849,8977.453,1006.894,2287.030
2023-09-04 19:15,6650.849,8977.504,1006.894,2287.030
2023-09-04 19:30,6650.849,8977.783,1006.894,2287.030
2023-09-04 19:45,6650.849,8978.176,1006.894,2287.030
2023-09-04 20:00,6650.849,8978.495,1006.894,2287.030
2023-09-04 20:15,6650.849,8978.611,1006.894,2287.030
2023-09-04 20:30,6650.849,8978.739,1006.894,2287.030
2023-09-04 20:45,6650.849,8978.861,1006.894,2287.030
2023-09-04 21:00,6650.849,8979.008,1006.894,2287.030
2023-09-04 21:15,6650.849,8979.162,1006.894,2287.030
2023-09-04 21:30,6650.849,8979.333,1006.894,2287.030
2023-09-04 21:45,6650.849,8979.633,1006.894,2287.030
2023-09-04 22:00,6650.849,8979.974,1006.894,2287.030
2023-09-04 22:15,6650.849,8980.572,1006.894,2287.030
2023-09-04 22:30,6650.849,8981.094,1006.894,2287.030
2023-09-04 22:45,6650.849,8981.528,1006.894,2287.030
2023-09-04 23:00,6650.849,8981.975,1006.894,2287.030
2023-09-04 23:15,6651.008,8981.976,1006.894,2287.030
2023-09-04 23:30,6651.179,8981.976,1006.894,2287.030
2023-09-04 23:45,6651.336,8981.976,1006.894,2287.030
2023-09-05 00:00,6651.470,8981.976,1006.894,2287.030
2023-09-05 00:15,6651.597,8981.976,1006.894,2287.030
2023-09-05 00:30,6651.733,8981.976,1006.894,2287.030
2023-09-05 00:45,6651.857,8981.976,1006.894,2287.030
2023-09-05 01:00,6651.999,8981.976,1006.894,2287.030
2023-09-05 01:15,6652.085,8981.976,1006.894,2287.030
2023-09-05 01:30,6652.172,8981.976,1006.894,2287.030
2023-09-05 01:45,6652.263,8981.976,1006.894,2287.030
